split,label,pos,count,percentage
test,0,ADJ,10,2.9940119760479043
test,0,ADP,27,8.083832335329342
test,0,ADV,8,2.395209580838323
test,0,AUX,25,7.485029940119761
test,0,CCONJ,10,2.9940119760479043
test,0,DET,44,13.173652694610778
test,0,INTJ,2,0.5988023952095808
test,0,NOUN,42,12.574850299401197
test,0,NUM,3,0.8982035928143712
test,0,PART,6,1.7964071856287425
test,0,PRON,23,6.88622754491018
test,0,PROPN,66,19.760479041916167
test,0,PUNCT,17,5.089820359281437
test,0,SCONJ,5,1.4970059880239521
test,0,VERB,46,13.77245508982036
test,1,ADJ,6,1.466992665036675
test,1,ADP,31,7.579462102689487
test,1,ADV,13,3.1784841075794623
test,1,AUX,32,7.823960880195599
test,1,CCONJ,8,1.9559902200488997
test,1,DET,28,6.845965770171149
test,1,INTJ,6,1.466992665036675
test,1,NOUN,46,11.246943765281173
test,1,NUM,1,0.24449877750611246
test,1,PART,8,1.9559902200488997
test,1,PRON,64,15.647921760391197
test,1,PROPN,85,20.78239608801956
test,1,PUNCT,26,6.356968215158925
test,1,SCONJ,4,0.9779951100244498
test,1,VERB,50,12.224938875305623
test,1,X,1,0.24449877750611246
train,0,ADJ,32,3.818615751789976
train,0,ADP,78,9.307875894988067
train,0,ADV,24,2.863961813842482
train,0,AUX,66,7.875894988066825
train,0,CCONJ,28,3.341288782816229
train,0,DET,105,12.52983293556086
train,0,INTJ,9,1.0739856801909309
train,0,NOUN,113,13.484486873508354
train,0,NUM,4,0.477326968973747
train,0,PART,12,1.431980906921241
train,0,PRON,91,10.859188544152744
train,0,PROPN,138,16.46778042959427
train,0,PUNCT,27,3.2219570405727924
train,0,SCONJ,6,0.7159904534606205
train,0,VERB,105,12.52983293556086
train,1,ADJ,20,2.2675736961451247
train,1,ADP,49,5.555555555555555
train,1,ADV,41,4.648526077097506
train,1,AUX,57,6.462585034013605
train,1,CCONJ,36,4.081632653061225
train,1,DET,61,6.916099773242631
train,1,INTJ,13,1.473922902494331
train,1,NOUN,88,9.977324263038549
train,1,NUM,6,0.6802721088435374
train,1,PART,12,1.3605442176870748
train,1,PRON,122,13.832199546485262
train,1,PROPN,181,20.521541950113377
train,1,PUNCT,72,8.16326530612245
train,1,SCONJ,11,1.2471655328798186
train,1,VERB,112,12.698412698412698
train,1,X,1,0.11337868480725624
