split,label,pos,count,percentage
test,0,ADJ,132,3.260064213386021
test,0,ADP,367,9.063966411459619
test,0,ADV,84,2.074586317609286
test,0,AUX,315,7.779698691034824
test,0,CCONJ,179,4.420844653000741
test,0,DET,495,12.22524080019758
test,0,INTJ,29,0.7162262286984441
test,0,NOUN,581,14.349222030130896
test,0,NUM,36,0.8891084218325512
test,0,PART,61,1.5065448258829341
test,0,PRON,326,8.051370708816991
test,0,PROPN,748,18.473697209187453
test,0,PUNCT,173,4.272659916028649
test,0,SCONJ,54,1.3336626327488268
test,0,VERB,469,11.583106939985182
test,1,ADJ,81,2.2581544466127683
test,1,ADP,268,7.471424588792863
test,1,ADV,115,3.2060217451909674
test,1,AUX,236,6.579314190131028
test,1,CCONJ,117,3.261778645107332
test,1,DET,317,8.837468636743797
test,1,INTJ,55,1.533314747700028
test,1,NOUN,419,11.681070532478394
test,1,NUM,15,0.41817674937273486
test,1,PART,83,2.313911346529133
test,1,PRON,402,11.207136883189294
test,1,PROPN,761,21.21550041817675
test,1,PUNCT,237,6.607192640089211
test,1,SCONJ,40,1.115137998327293
test,1,VERB,437,12.182882631725676
test,1,X,4,0.1115137998327293
train,0,ADJ,254,2.827248441674087
train,0,ADP,813,9.049421193232414
train,0,ADV,201,2.2373107747105965
train,0,AUX,700,7.791629563668744
train,0,CCONJ,285,3.172306322350846
train,0,DET,1082,12.043633125556545
train,0,INTJ,90,1.0017809439002672
train,0,NOUN,1283,14.280943900267141
train,0,NUM,73,0.8125556544968834
train,0,PART,147,1.6362422083704364
train,0,PRON,808,8.993766696349065
train,0,PROPN,1716,19.100623330365092
train,0,PUNCT,391,4.3521816562778275
train,0,SCONJ,105,1.1687444345503117
train,0,VERB,1034,11.509349955476402
train,0,X,2,0.02226179875333927
train,1,ADJ,167,2.0558906807829618
train,1,ADP,584,7.189462021420657
train,1,ADV,275,3.385448725840207
train,1,AUX,503,6.192293487627723
train,1,CCONJ,277,3.410070171119045
train,1,DET,760,9.35614920595839
train,1,INTJ,110,1.3541794903360826
train,1,NOUN,985,12.12606179982765
train,1,NUM,48,0.5909146866921088
train,1,PART,109,1.3418687676966639
train,1,PRON,858,10.562600024621446
train,1,PROPN,1810,22.28240797734827
train,1,PUNCT,670,8.248184168410686
train,1,SCONJ,74,0.9109934753170011
train,1,VERB,886,10.907300258525176
train,1,X,7,0.08617505847593254
