split,label,pos,count,percentage
test,0,ADJ,114,3.3787788974510966
test,0,ADP,330,9.780675755779491
test,0,ADV,76,2.2525192649673977
test,0,AUX,269,7.972732661529342
test,0,CCONJ,148,4.386484884410196
test,0,DET,419,12.418494368701838
test,0,INTJ,21,0.6224066390041494
test,0,NOUN,478,14.167160640189685
test,0,NUM,24,0.7113218731475993
test,0,PART,50,1.4819205690574986
test,0,PRON,251,7.439241256668643
test,0,PROPN,641,18.99822169531713
test,0,PUNCT,135,4.001185536455246
test,0,SCONJ,41,1.2151748666271487
test,0,VERB,377,11.173681090693538
test,1,ADJ,68,2.414772727272727
test,1,ADP,205,7.279829545454546
test,1,ADV,97,3.444602272727273
test,1,AUX,183,6.498579545454546
test,1,CCONJ,95,3.3735795454545454
test,1,DET,247,8.771306818181818
test,1,INTJ,47,1.6690340909090908
test,1,NOUN,321,11.399147727272727
test,1,NUM,11,0.390625
test,1,PART,62,2.2017045454545454
test,1,PRON,302,10.724431818181818
test,1,PROPN,614,21.803977272727273
test,1,PUNCT,190,6.747159090909091
test,1,SCONJ,30,1.0653409090909092
test,1,VERB,340,12.073863636363637
test,1,X,4,0.14204545454545456
train,0,ADJ,190,2.5850340136054424
train,0,ADP,664,9.034013605442176
train,0,ADV,157,2.1360544217687076
train,0,AUX,548,7.45578231292517
train,0,CCONJ,233,3.1700680272108843
train,0,DET,888,12.081632653061224
train,0,INTJ,78,1.0612244897959184
train,0,NOUN,1072,14.585034013605442
train,0,NUM,53,0.7210884353741497
train,0,PART,123,1.6734693877551021
train,0,PRON,655,8.91156462585034
train,0,PROPN,1430,19.45578231292517
train,0,PUNCT,328,4.462585034013605
train,0,SCONJ,85,1.1564625850340136
train,0,VERB,845,11.496598639455783
train,0,X,1,0.013605442176870748
train,1,ADJ,141,2.1668971876440755
train,1,ADP,472,7.253726755801445
train,1,ADV,234,3.59612724757953
train,1,AUX,393,6.039649608114338
train,1,CCONJ,222,3.4117104656523742
train,1,DET,587,9.021054249270017
train,1,INTJ,88,1.3523897341324727
train,1,NOUN,788,12.11003534654987
train,1,NUM,37,0.5686184109420624
train,1,PART,82,1.260181343168895
train,1,PRON,646,9.927770093745197
train,1,PROPN,1499,23.036729675733824
train,1,PUNCT,538,8.2680190564008
train,1,SCONJ,63,0.9681881051175657
train,1,VERB,712,10.942062394344552
train,1,X,5,0.0768403258029814
