split,label,pos,count,percentage
test,0,ADJ,3,3.260869565217391
test,0,ADP,13,14.130434782608695
test,0,ADV,6,6.521739130434782
test,0,AUX,9,9.782608695652174
test,0,CCONJ,3,3.260869565217391
test,0,DET,15,16.304347826086957
test,0,INTJ,2,2.1739130434782608
test,0,NOUN,15,16.304347826086957
test,0,PRON,5,5.434782608695652
test,0,PROPN,14,15.217391304347826
test,0,PUNCT,1,1.0869565217391304
test,0,SCONJ,1,1.0869565217391304
test,0,VERB,5,5.434782608695652
test,1,ADJ,2,1.6528925619834711
test,1,ADP,7,5.785123966942149
test,1,ADV,8,6.6115702479338845
test,1,AUX,9,7.43801652892562
test,1,CCONJ,6,4.958677685950414
test,1,DET,13,10.743801652892563
test,1,INTJ,3,2.479338842975207
test,1,NOUN,13,10.743801652892563
test,1,NUM,2,1.6528925619834711
test,1,PART,1,0.8264462809917356
test,1,PRON,8,6.6115702479338845
test,1,PROPN,25,20.66115702479339
test,1,PUNCT,9,7.43801652892562
test,1,SCONJ,1,0.8264462809917356
test,1,VERB,13,10.743801652892563
test,1,X,1,0.8264462809917356
train,0,ADJ,4,1.9230769230769231
train,0,ADP,12,5.769230769230769
train,0,ADV,8,3.8461538461538463
train,0,AUX,19,9.134615384615385
train,0,CCONJ,11,5.288461538461538
train,0,DET,29,13.942307692307692
train,0,INTJ,2,0.9615384615384616
train,0,NOUN,25,12.01923076923077
train,0,NUM,2,0.9615384615384616
train,0,PART,2,0.9615384615384616
train,0,PRON,24,11.538461538461538
train,0,PROPN,38,18.26923076923077
train,0,PUNCT,9,4.326923076923077
train,0,SCONJ,2,0.9615384615384616
train,0,VERB,21,10.096153846153847
train,1,ADJ,3,1.0600706713780919
train,1,ADP,23,8.12720848056537
train,1,ADV,19,6.713780918727915
train,1,AUX,19,6.713780918727915
train,1,CCONJ,7,2.4734982332155475
train,1,DET,26,9.187279151943462
train,1,INTJ,3,1.0600706713780919
train,1,NOUN,29,10.247349823321555
train,1,NUM,2,0.7067137809187279
train,1,PART,6,2.1201413427561837
train,1,PRON,35,12.36749116607774
train,1,PROPN,59,20.848056537102472
train,1,PUNCT,21,7.420494699646643
train,1,SCONJ,4,1.4134275618374559
train,1,VERB,26,9.187279151943462
train,1,X,1,0.35335689045936397
