split,label,pos,count,percentage
test,0,ADJ,135,3.334156581872067
test,0,ADP,374,9.236848604593726
test,0,ADV,90,2.222771054581378
test,0,AUX,321,7.927883428006916
test,0,CCONJ,180,4.445542109162756
test,0,DET,496,12.249938256359595
test,0,INTJ,31,0.7656211410224747
test,0,NOUN,578,14.27512966164485
test,0,NUM,35,0.8644109656705359
test,0,PART,61,1.5065448258829341
test,0,PRON,320,7.9031859718449
test,0,PROPN,747,18.44899975302544
test,0,PUNCT,169,4.1738700913805875
test,0,SCONJ,54,1.3336626327488268
test,0,VERB,458,11.311434922203013
test,1,ADJ,80,2.230275996654586
test,1,ADP,270,7.527181488709227
test,1,ADV,121,3.3732924449400614
test,1,AUX,231,6.439921940340117
test,1,CCONJ,121,3.3732924449400614
test,1,DET,317,8.837468636743797
test,1,INTJ,55,1.533314747700028
test,1,NOUN,419,11.681070532478394
test,1,NUM,17,0.47393364928909953
test,1,PART,82,2.2860328965709504
test,1,PRON,397,11.067744633398384
test,1,PROPN,760,21.18762196821857
test,1,PUNCT,234,6.523557290214664
test,1,SCONJ,39,1.0872595483691108
test,1,VERB,440,12.266517981600224
test,1,X,4,0.1115137998327293
train,0,ADJ,259,2.8829029385574354
train,0,ADP,803,8.938112199465717
train,0,ADV,198,2.203918076580588
train,0,AUX,691,7.691451469278718
train,0,CCONJ,292,3.2502226179875335
train,0,DET,1079,12.010240427426536
train,0,INTJ,89,0.9906500445235975
train,0,NOUN,1282,14.269813000890473
train,0,NUM,72,0.8014247551202137
train,0,PART,145,1.613980409617097
train,0,PRON,809,9.004897595725735
train,0,PROPN,1723,19.178539626001783
train,0,PUNCT,396,4.407836153161176
train,0,SCONJ,109,1.2132680320569902
train,0,VERB,1035,11.520480854853073
train,0,X,2,0.02226179875333927
train,1,ADJ,166,2.043579958143543
train,1,ADP,583,7.177151298781238
train,1,ADV,277,3.410070171119045
train,1,AUX,498,6.130739874430629
train,1,CCONJ,275,3.385448725840207
train,1,DET,757,9.319217038040133
train,1,INTJ,110,1.3541794903360826
train,1,NOUN,978,12.039886741351717
train,1,NUM,49,0.6032254093315278
train,1,PART,110,1.3541794903360826
train,1,PRON,869,10.698017973655054
train,1,PROPN,1812,22.307029422627107
train,1,PUNCT,675,8.30973778160778
train,1,SCONJ,75,0.92330419795642
train,1,VERB,882,10.8580573679675
train,1,X,7,0.08617505847593254
