split,label,pos,count,percentage
test,0,ADJ,20,4.1928721174004195
test,0,ADP,39,8.176100628930818
test,0,ADV,11,2.3060796645702304
test,0,AUX,48,10.062893081761006
test,0,CCONJ,23,4.821802935010482
test,0,DET,54,11.320754716981131
test,0,INTJ,3,0.6289308176100629
test,0,NOUN,64,13.417190775681341
test,0,NUM,6,1.2578616352201257
test,0,PART,6,1.2578616352201257
test,0,PRON,41,8.59538784067086
test,0,PROPN,75,15.723270440251572
test,0,PUNCT,26,5.450733752620545
test,0,SCONJ,7,1.4675052410901468
test,0,VERB,54,11.320754716981131
test,1,ADJ,9,2.0224719101123596
test,1,ADP,34,7.640449438202247
test,1,ADV,17,3.8202247191011236
test,1,AUX,36,8.089887640449438
test,1,CCONJ,19,4.269662921348314
test,1,DET,34,7.640449438202247
test,1,INTJ,7,1.5730337078651686
test,1,NOUN,55,12.359550561797754
test,1,NUM,3,0.6741573033707865
test,1,PART,4,0.898876404494382
test,1,PRON,50,11.235955056179776
test,1,PROPN,86,19.325842696629213
test,1,PUNCT,31,6.966292134831461
test,1,SCONJ,3,0.6741573033707865
test,1,VERB,56,12.584269662921349
test,1,X,1,0.2247191011235955
train,0,ADJ,33,3.1132075471698113
train,0,ADP,87,8.20754716981132
train,0,ADV,23,2.169811320754717
train,0,AUX,100,9.433962264150944
train,0,CCONJ,35,3.30188679245283
train,0,DET,128,12.075471698113208
train,0,INTJ,12,1.1320754716981132
train,0,NOUN,146,13.773584905660377
train,0,NUM,5,0.4716981132075472
train,0,PART,15,1.4150943396226414
train,0,PRON,108,10.18867924528302
train,0,PROPN,186,17.547169811320753
train,0,PUNCT,44,4.150943396226415
train,0,SCONJ,9,0.8490566037735849
train,0,VERB,129,12.169811320754716
train,1,ADJ,20,2.2123893805309733
train,1,ADP,65,7.1902654867256635
train,1,ADV,34,3.7610619469026547
train,1,AUX,64,7.079646017699115
train,1,CCONJ,24,2.6548672566371683
train,1,DET,91,10.06637168141593
train,1,INTJ,19,2.101769911504425
train,1,NOUN,97,10.730088495575222
train,1,NUM,5,0.5530973451327433
train,1,PART,9,0.995575221238938
train,1,PRON,101,11.172566371681416
train,1,PROPN,190,21.01769911504425
train,1,PUNCT,68,7.522123893805309
train,1,SCONJ,11,1.2168141592920354
train,1,VERB,106,11.725663716814159
