split,label,pos,count,percentage
test,0,ADJ,108,3.200948429164197
test,0,ADP,312,9.24718435091879
test,0,ADV,78,2.3117960877296975
test,0,AUX,265,7.854179016004742
test,0,CCONJ,162,4.801422643746295
test,0,DET,419,12.418494368701838
test,0,INTJ,30,0.8891523414344991
test,0,NOUN,489,14.493183165382336
test,0,NUM,29,0.8595139300533492
test,0,PART,48,1.4226437462951986
test,0,PRON,277,8.209839952578541
test,0,PROPN,609,18.04979253112033
test,0,PUNCT,142,4.208654416123296
test,0,SCONJ,44,1.3040901007705987
test,0,VERB,362,10.729104919976288
test,1,ADJ,70,2.4857954545454546
test,1,ADP,209,7.421875
test,1,ADV,90,3.196022727272727
test,1,AUX,189,6.7116477272727275
test,1,CCONJ,93,3.3025568181818183
test,1,DET,247,8.771306818181818
test,1,INTJ,44,1.5625
test,1,NOUN,332,11.789772727272727
test,1,NUM,14,0.4971590909090909
test,1,PART,67,2.3792613636363638
test,1,PRON,296,10.511363636363637
test,1,PROPN,623,22.123579545454547
test,1,PUNCT,180,6.392045454545454
test,1,SCONJ,32,1.1363636363636365
test,1,VERB,327,11.612215909090908
test,1,X,3,0.10653409090909091
train,0,ADJ,212,2.8843537414965987
train,0,ADP,649,8.829931972789115
train,0,ADV,163,2.2176870748299318
train,0,AUX,557,7.578231292517007
train,0,CCONJ,243,3.306122448979592
train,0,DET,875,11.904761904761905
train,0,INTJ,80,1.08843537414966
train,0,NOUN,1070,14.5578231292517
train,0,NUM,55,0.7482993197278912
train,0,PART,113,1.5374149659863945
train,0,PRON,659,8.965986394557824
train,0,PROPN,1413,19.224489795918366
train,0,PUNCT,338,4.598639455782313
train,0,SCONJ,80,1.08843537414966
train,0,VERB,841,11.4421768707483
train,0,X,2,0.027210884353741496
train,1,ADJ,129,1.9824804057169203
train,1,ADP,478,7.345935146765022
train,1,ADV,214,3.2887659443676043
train,1,AUX,398,6.11648993391732
train,1,CCONJ,225,3.4578146611341634
train,1,DET,607,9.328415552481943
train,1,INTJ,88,1.3523897341324727
train,1,NOUN,790,12.140771476871063
train,1,NUM,36,0.5532503457814661
train,1,PART,87,1.3370216689718764
train,1,PRON,655,10.066082680190563
train,1,PROPN,1487,22.85231289380667
train,1,PUNCT,564,8.667588750576302
train,1,SCONJ,52,0.7991393883510066
train,1,VERB,692,10.634701091132627
train,1,X,5,0.0768403258029814
