split,label,pos,count,percentage
test,0,ADJ,4,4.3478260869565215
test,0,ADP,10,10.869565217391305
test,0,ADV,6,6.521739130434782
test,0,AUX,6,6.521739130434782
test,0,CCONJ,6,6.521739130434782
test,0,DET,7,7.608695652173913
test,0,INTJ,2,2.1739130434782608
test,0,NOUN,12,13.043478260869565
test,0,PRON,9,9.782608695652174
test,0,PROPN,15,16.304347826086957
test,0,PUNCT,2,2.1739130434782608
test,0,SCONJ,2,2.1739130434782608
test,0,VERB,11,11.956521739130435
test,1,ADJ,1,0.8264462809917356
test,1,ADP,11,9.090909090909092
test,1,ADV,9,7.43801652892562
test,1,AUX,7,5.785123966942149
test,1,CCONJ,7,5.785123966942149
test,1,DET,12,9.917355371900827
test,1,INTJ,2,1.6528925619834711
test,1,NOUN,13,10.743801652892563
test,1,NUM,1,0.8264462809917356
test,1,PART,3,2.479338842975207
test,1,PRON,8,6.6115702479338845
test,1,PROPN,21,17.355371900826448
test,1,PUNCT,5,4.132231404958677
test,1,SCONJ,3,2.479338842975207
test,1,VERB,18,14.87603305785124
train,0,ADJ,6,2.8846153846153846
train,0,ADP,15,7.211538461538462
train,0,ADV,9,4.326923076923077
train,0,AUX,19,9.134615384615385
train,0,CCONJ,6,2.8846153846153846
train,0,DET,16,7.6923076923076925
train,0,INTJ,3,1.4423076923076923
train,0,NOUN,28,13.461538461538462
train,0,NUM,2,0.9615384615384616
train,0,PART,8,3.8461538461538463
train,0,PRON,15,7.211538461538462
train,0,PROPN,47,22.596153846153847
train,0,PUNCT,8,3.8461538461538463
train,0,SCONJ,1,0.4807692307692308
train,0,VERB,25,12.01923076923077
train,1,ADJ,5,1.7667844522968197
train,1,ADP,20,7.067137809187279
train,1,ADV,14,4.946996466431095
train,1,AUX,14,4.946996466431095
train,1,CCONJ,13,4.593639575971731
train,1,DET,28,9.89399293286219
train,1,INTJ,2,0.7067137809187279
train,1,NOUN,25,8.8339222614841
train,1,NUM,1,0.35335689045936397
train,1,PART,3,1.0600706713780919
train,1,PRON,32,11.307420494699647
train,1,PROPN,69,24.381625441696112
train,1,PUNCT,21,7.420494699646643
train,1,SCONJ,2,0.7067137809187279
train,1,VERB,34,12.014134275618375
