split,label,pos,count,percentage
test,0,ADJ,131,3.200586366967994
test,0,ADP,376,9.186415831908135
test,0,ADV,90,2.1988761299780113
test,0,AUX,316,7.720498411922795
test,0,CCONJ,180,4.397752259956023
test,0,DET,502,12.264842413877352
test,0,INTJ,30,0.7329587099926704
test,0,NOUN,588,14.36599071585634
test,0,NUM,35,0.8551184949914488
test,0,PART,63,1.539213290984608
test,0,PRON,324,7.915954067920841
test,0,PROPN,765,18.690447104813096
test,0,PUNCT,171,4.177864646958222
test,0,SCONJ,53,1.294893720987051
test,0,VERB,469,11.458587832885414
test,1,ADJ,81,2.2823330515638207
test,1,ADP,266,7.495069033530572
test,1,ADV,117,3.2967032967032965
test,1,AUX,232,6.537052690898845
test,1,CCONJ,114,3.212172442941674
test,1,DET,317,8.932093547478162
test,1,INTJ,56,1.5779092702169626
test,1,NOUN,416,11.72161172161172
test,1,NUM,16,0.4508312200619893
test,1,PART,82,2.3105100028176953
test,1,PRON,399,11.242603550295858
test,1,PROPN,746,21.020005635390252
test,1,PUNCT,231,6.508875739644971
test,1,SCONJ,40,1.1270780501549733
test,1,VERB,433,12.200619892927586
test,1,X,3,0.08453085376162299
train,0,ADJ,258,2.853982300884956
train,0,ADP,815,9.015486725663717
train,0,ADV,204,2.256637168141593
train,0,AUX,706,7.8097345132743365
train,0,CCONJ,294,3.252212389380531
train,0,DET,1090,12.057522123893806
train,0,INTJ,89,0.9845132743362832
train,0,NOUN,1289,14.258849557522124
train,0,NUM,73,0.8075221238938053
train,0,PART,148,1.6371681415929205
train,0,PRON,816,9.026548672566372
train,0,PROPN,1727,19.103982300884955
train,0,PUNCT,394,4.3584070796460175
train,0,SCONJ,107,1.1836283185840708
train,0,VERB,1028,11.371681415929203
train,0,X,2,0.022123893805309734
train,1,ADJ,166,2.0724094881398254
train,1,ADP,573,7.153558052434457
train,1,ADV,267,3.3333333333333335
train,1,AUX,490,6.117353308364544
train,1,CCONJ,273,3.4082397003745317
train,1,DET,742,9.263420724094882
train,1,INTJ,106,1.32334581772784
train,1,NOUN,980,12.234706616729088
train,1,NUM,48,0.599250936329588
train,1,PART,110,1.373283395755306
train,1,PRON,850,10.611735330836455
train,1,PROPN,1786,22.29712858926342
train,1,PUNCT,665,8.302122347066167
train,1,SCONJ,72,0.898876404494382
train,1,VERB,875,10.923845193508114
train,1,X,7,0.08739076154806492
