split,label,pos,count,percentage
test,0,ADJ,130,3.3757465593352376
test,0,ADP,357,9.270319397559076
test,0,ADV,88,2.2851207478576994
test,0,AUX,299,7.764217086471047
test,0,CCONJ,176,4.570241495715399
test,0,DET,469,12.17865489483251
test,0,INTJ,29,0.7530511555440146
test,0,NOUN,551,14.307971955336276
test,0,NUM,32,0.8309529992209815
test,0,PART,59,1.5320695923136847
test,0,PRON,300,7.790184367696702
test,0,PROPN,712,18.48870423266684
test,0,PUNCT,163,4.232666839781875
test,0,SCONJ,49,1.272396780057128
test,0,VERB,437,11.347701895611529
test,1,ADJ,75,2.2999080036798527
test,1,ADP,244,7.482367371971788
test,1,ADV,106,3.250536645200859
test,1,AUX,200,6.1330880098129406
test,1,CCONJ,113,3.4651947255443116
test,1,DET,286,8.770315854032505
test,1,INTJ,52,1.5946028825513645
test,1,NOUN,380,11.652867218644587
test,1,NUM,16,0.49064704078503524
test,1,PART,71,2.177246243483594
test,1,PRON,365,11.192885617908617
test,1,PROPN,703,21.557804354492486
test,1,PUNCT,213,6.531738730450782
test,1,SCONJ,37,1.134621281815394
test,1,VERB,396,12.143514259429622
test,1,X,4,0.12266176019625881
train,0,ADJ,237,2.8180737217598097
train,0,ADP,754,8.96551724137931
train,0,ADV,187,2.2235434007134365
train,0,AUX,646,7.681331747919144
train,0,CCONJ,271,3.2223543400713437
train,0,DET,1017,12.092746730083235
train,0,INTJ,86,1.0225921521997623
train,0,NOUN,1206,14.340071343638526
train,0,NUM,63,0.7491082045184304
train,0,PART,130,1.5457788347205708
train,0,PRON,755,8.977407847800238
train,0,PROPN,1618,19.23900118906064
train,0,PUNCT,376,4.470868014268728
train,0,SCONJ,100,1.1890606420927468
train,0,VERB,963,11.45065398335315
train,0,X,1,0.011890606420927468
train,1,ADJ,146,1.9700445284037242
train,1,ADP,546,7.367426798002969
train,1,ADV,254,3.42733774119552
train,1,AUX,453,6.112535420321144
train,1,CCONJ,249,3.35987046282553
train,1,DET,689,9.296990959384699
train,1,INTJ,93,1.2548913776818242
train,1,NOUN,901,12.157603562272298
train,1,NUM,46,0.6206989610039131
train,1,PART,100,1.3493455673998112
train,1,PRON,779,10.511401970044528
train,1,PROPN,1673,22.57455134259884
train,1,PUNCT,624,8.41991634057482
train,1,SCONJ,70,0.9445418971798678
train,1,VERB,781,10.538388881392525
train,1,X,7,0.09445418971798678
