split,label,pos,count,percentage
test,0,ADJ,105,3.112033195020747
test,0,ADP,299,8.861885002963842
test,0,ADV,78,2.3117960877296975
test,0,AUX,267,7.913455838767042
test,0,CCONJ,148,4.386484884410196
test,0,DET,408,12.092471843509188
test,0,INTJ,25,0.7409602845287493
test,0,NOUN,479,14.196799051570835
test,0,NUM,30,0.8891523414344991
test,0,PART,56,1.6597510373443984
test,0,PRON,270,8.002371072910492
test,0,PROPN,653,19.35388263189093
test,0,PUNCT,140,4.149377593360996
test,0,SCONJ,46,1.3633669235328987
test,0,VERB,370,10.96621221102549
test,1,ADJ,62,2.2017045454545454
test,1,ADP,216,7.670454545454546
test,1,ADV,91,3.231534090909091
test,1,AUX,186,6.605113636363637
test,1,CCONJ,101,3.586647727272727
test,1,DET,250,8.877840909090908
test,1,INTJ,42,1.4914772727272727
test,1,NOUN,332,11.789772727272727
test,1,NUM,13,0.4616477272727273
test,1,PART,60,2.1306818181818183
test,1,PRON,305,10.830965909090908
test,1,PROPN,599,21.271306818181817
test,1,PUNCT,191,6.782670454545454
test,1,SCONJ,28,0.9943181818181818
test,1,VERB,338,12.002840909090908
test,1,X,2,0.07102272727272728
train,0,ADJ,217,2.9523809523809526
train,0,ADP,661,8.993197278911564
train,0,ADV,154,2.0952380952380953
train,0,AUX,557,7.578231292517007
train,0,CCONJ,225,3.061224489795918
train,0,DET,905,12.312925170068027
train,0,INTJ,77,1.0476190476190477
train,0,NOUN,1045,14.217687074829932
train,0,NUM,60,0.8163265306122449
train,0,PART,125,1.7006802721088434
train,0,PRON,669,9.10204081632653
train,0,PROPN,1418,19.292517006802722
train,0,PUNCT,326,4.4353741496598635
train,0,SCONJ,84,1.1428571428571428
train,0,VERB,827,11.251700680272108
train,1,ADJ,136,2.090056861841094
train,1,ADP,461,7.084678039034886
train,1,ADV,223,3.4270785308129708
train,1,AUX,399,6.1318579990779165
train,1,CCONJ,222,3.4117104656523742
train,1,DET,615,9.451360073766713
train,1,INTJ,86,1.32165360381128
train,1,NOUN,792,12.171507607192254
train,1,NUM,40,0.6147226064238512
train,1,PART,90,1.3831258644536653
train,1,PRON,671,10.311971722760104
train,1,PROPN,1470,22.591055786076534
train,1,PUNCT,541,8.314123251882588
train,1,SCONJ,56,0.8606116489933917
train,1,VERB,698,10.726909482096204
train,1,X,7,0.10757645612417396
